pool	 sample
14	 115
14	 124
14	 136
14	 143
14	 150
14	 157
14	 164
14	 171
14	 178
14	 185
14	 199
14	 208
14	 213
14	 222
14	 227
14	 236
14	 241
14	 250
14	 258
14	 265
14	 276
14	 283
14	 294
14	 301
14	 312
14	 319
14	 321
14	 330
14	 339
14	 348
14	 357
14	 366
14	 375
14	 384
15	 7
15	 16
15	 21
15	 30
15	 35
15	 44
15	 49
15	 58
15	 72
15	 79
15	 86
15	 93
15	 100
15	 107
15	 114
15	 121
15	 133
15	 142
15	 151
15	 160
15	 161
15	 170
15	 179
15	 188
15	 198
15	 205
15	 216
15	 223
15	 226
15	 233
15	 244
15	 251
15	 259
15	 268
15	 273
15	 282
15	 295
15	 304
15	 309
15	 318
15	 324
15	 331
15	 338
15	 345
15	 360
15	 367
15	 374
15	 381
16	 8
16	 15
16	 22
16	 29
16	 36
16	 43
16	 50
16	 57
16	 71
16	 80
16	 85
16	 94
16	 99
16	 108
16	 113
16	 122
16	 134
16	 141
16	 152
16	 159
16	 162
16	 169
16	 180
16	 187
16	 197
16	 206
16	 215
16	 224
16	 225
16	 234
16	 243
16	 252
16	 260
16	 267
16	 274
16	 281
16	 296
16	 303
16	 310
16	 317
16	 323
16	 332
16	 337
16	 346
16	 359
16	 368
16	 373
16	 382
17	 1
17	 11
17	 21
17	 31
17	 36
17	 42
17	 56
17	 62
17	 69
17	 79
17	 81
17	 91
17	 104
17	 110
17	 116
17	 122
17	 132
17	 138
17	 152
17	 158
17	 161
17	 171
17	 181
17	 191
17	 200
17	 206
17	 212
17	 218
17	 229
17	 239
17	 241
17	 251
17	 263
17	 269
17	 275
17	 281
17	 294
17	 304
17	 306
17	 316
17	 323
17	 329
17	 343
17	 349
17	 354
17	 364
17	 374
17	 384
18	 2
18	 12
18	 22
18	 32
18	 35
18	 41
18	 55
18	 61
18	 70
18	 80
18	 82
18	 92
18	 103
18	 109
18	 115
18	 121
18	 131
18	 137
18	 151
18	 157
18	 162
18	 172
18	 182
18	 192
18	 199
18	 205
18	 211
18	 217
18	 230
18	 240
18	 242
18	 252
18	 264
18	 270
18	 276
18	 282
18	 293
18	 303
18	 305
18	 315
18	 324
18	 330
18	 344
18	 350
18	 353
18	 363
18	 373
18	 383
19	 3
19	 9
19	 23
19	 29
19	 34
19	 44
19	 54
19	 64
19	 71
19	 77
19	 83
19	 89
19	 102
19	 112
19	 114
19	 124
19	 130
19	 140
19	 150
19	 160
19	 163
19	 169
19	 183
19	 189
19	 198
19	 208
19	 210
19	 220
19	 231
19	 237
19	 243
19	 249
19	 261
19	 271
19	 273
19	 283
19	 296
